generation,best_latency_ms
1,119.94526626881012
2,117.25935501027247
3,114.87344784831619
4,112.45210140214685
5,109.64932573290103
6,107.21237362913618
7,106.11755763953933
8,103.22636142294404
9,100.97810412370033
10,99.55994310642649
11,96.88628035059762
12,95.04892068238719
13,94.74289078973463
14,92.70793704398638
15,90.93643615461058
16,89.69483314854878
17,88.32538412058986
18,85.57708326502684
19,84.217419640798
20,82.68415503847564
21,82.46355707234865
22,80.71551904486738
23,79.72443223953044
24,77.99414596347233
25,77.6096728502193
26,75.15472156677708
27,74.70250114686903
28,73.75808086415286
29,71.35524741050517
30,70.96148889497567
31,70.96148889497567
32,69.9146568093198
33,68.63540524128213
34,67.37806208429798
35,67.16704567696043
36,65.6928361736898
37,65.08252459088777
38,64.7669714026544
39,64.37203126961849
40,63.523859301646
41,62.11011057029591
42,61.67781109462813
43,60.978990366091374
44,60.43428469176993
45,60.270532999233325
46,58.9861225042782
47,58.9861225042782
48,58.323240490902464
49,58.323240490902464
50,57.62795701694291
51,56.15562689523908
52,55.78667370464164
53,55.50250751394429
54,55.30590309532933
55,55.30590309532933
56,54.95727894947995
57,54.95727894947995
58,53.53832558320733
59,53.53832558320733
60,53.53832558320733
61,52.36897021164534
62,52.32367753591302
63,51.85266948359263
64,51.830335514310356
65,51.17169173831196
66,50.91726395787376
67,50.43914540876926
68,50.43914540876926
69,49.81408322774039
70,49.81408322774039
71,49.81408322774039
72,49.81408322774039
73,49.81408322774039
74,49.347280032830504
75,49.347280032830504
76,49.16781423417247
77,49.16781423417247
78,49.16781423417247
79,48.65642488792295
80,47.938800834269614
81,47.65329503338404
82,47.65329503338404
83,47.40576728160674
84,47.22170997084351
85,46.740952750535875
86,46.740952750535875
87,46.740952750535875
88,46.47547504429817
89,46.47547504429817
90,46.47547504429817
91,46.47547504429817
92,46.47547504429817
93,46.20568303979281
94,46.20568303979281
95,46.016897932809464
96,46.016897932809464
97,45.53083664520414
98,45.53083664520414
99,45.53083664520414
100,45.53083664520414
101,45.53083664520414
102,44.90120474334167
103,44.90120474334167
104,44.90120474334167
105,44.90120474334167
106,44.877980640143406
107,44.877980640143406
108,44.877980640143406
109,44.877980640143406
110,44.877980640143406
111,44.877980640143406
112,44.877980640143406
113,44.877980640143406
114,44.877980640143406
115,44.877980640143406
116,44.877980640143406
117,44.877980640143406
118,44.877980640143406
119,44.877980640143406
120,44.361759997694776
121,44.361759997694776
122,44.159375102316005
123,44.159375102316005
124,44.159375102316005
125,43.66807775409917
126,43.66807775409917
127,43.66807775409917
128,43.66807775409917
129,43.66807775409917
130,43.66807775409917
131,43.66807775409917
132,43.66807775409917
133,43.59546191651784
134,43.59546191651784
135,43.59546191651784
136,43.59546191651784
137,43.59546191651784
138,43.59546191651784
139,43.59546191651784
140,43.59546191651784
141,43.59546191651784
142,43.59546191651784
143,43.59546191651784
144,43.59546191651784
145,43.59546191651784
146,43.59546191651784
147,43.59546191651784
148,43.59546191651784
149,43.59546191651784
150,43.59546191651784
151,43.59546191651784
152,43.59546191651784
153,43.59546191651784
154,43.59546191651784
155,43.59546191651784
156,43.59546191651784
157,43.59546191651784
158,43.59546191651784
159,43.59546191651784
160,43.59546191651784
161,43.59546191651784
162,43.59546191651784
163,43.59546191651784
164,43.59546191651784
165,43.59546191651784
166,43.59546191651784
167,43.59546191651784
168,43.59546191651784
169,43.59546191651784
170,43.59546191651784
171,43.59546191651784
172,43.59546191651784
173,43.59546191651784
174,43.59546191651784
175,43.59546191651784
176,43.08088389918993
177,43.08088389918993
178,43.08088389918993
179,43.08088389918993
180,43.08088389918993
181,43.08088389918993
182,43.08088389918993
183,43.08088389918993
184,43.08088389918993
185,43.08088389918993
186,43.08088389918993
187,43.08088389918993
188,43.08088389918993
189,43.08088389918993
190,43.08088389918993
191,43.08088389918993
192,43.08088389918993
193,43.08088389918993
194,43.08088389918993
195,43.08088389918993
196,43.08088389918993
197,43.08088389918993
198,43.08088389918993
199,43.08088389918993
200,42.06434404861496
